T恤	ti4 xu4
哀乐	ai1 yue4
哀鸣	ai1 ming2
哀求	ai1 qiu2
哀思	ai1 si1
哀叹	ai1 tan4
哀痛	ai1 tong4
皑皑	ai2 ai2
癌	ai2
癌细胞	ai2 xi4 bao1
癌症	ai2 zheng4
癌肿	ai2 zhong3
矮	ai3
矮矮	ai3 ai3
矮秆作物	ai3 gan3 zuo4 wu4
矮个儿	ai3 ge4 er2
矮小	ai3 xiao3
艾	ai4
艾艾	ai4 ai4
艾哈迈德	ai4 ha1 mai4 de2
艾森豪威尔	ai4 sen1 hao2 wei1 er3
艾文格	ai4 wen2 ge2
碍	ai4
爱	ai4
爱不释手	ai4 bu2 shi4 shou3
爱达荷	ai4 da2 he2
爱戴	ai4 dai4
爱迪生	ai4 di2 sheng1
爱丁堡	ai4 ding1 bao3
爱尔兰	ai4 er3 lan2
爱抚	ai4 fu3
爱国	ai4 guo2
爱国立功	ai4 guo2 li4 gong1
爱国力量	ai4 guo2 li4 liang4
爱国旗帜	ai4 guo2 qi2 zhi4
爱国热情	ai4 guo2 re4 qing2
爱国人士	ai4 guo2 ren2 shi4
爱国卫生运动	ai4 guo2 wei4 sheng1 yun4 dong4
爱国学生	ai4 guo2 xue2 sheng1
爱国学生运动	ai4 guo2 xue2 sheng1 yun4 dong4
爱国学者	ai4 guo2 xue2 zhe3
爱国者	ai4 guo2 zhe3
爱国主义	ai4 guo2 zhu3 yi4
爱好	ai4 hao4
爱好者	ai4 hao4 zhe3
爱荷华	ai4 he2 hua2
爱护	ai4 hu4
爱华	ai4 hua2
爱军	ai4 jun1
爱民	ai4 min2
爱慕	ai4 mu4
爱女	ai4 nu:3
爱琴海	ai4 qin2 hai3
爱情	ai4 qing2
爱人	ai4 ren5
爱沙尼亚	ai4 sha1 ni2 ya4
爱上	ai4 shang4
爱惜	ai4 xi1
爱因斯坦	ai4 yin1 si1 tan3
爱憎	ai4 zeng1
爱憎分明	ai4 zeng1 fen1 ming2
爱珍	ai4 zhen1
爱滋病	ai4 zi1 bing4
隘	ai4
鞍	an1
鞍钢宪法	an1 gang1 xian4 fa3
鞍马	an1 ma3
鞍山	an1 shan1
氨	an1
氨化	an1 hua4
氨基	an1 ji1
氨基塑料	an1 ji1 su4 liao4
氨基酸	an1 ji1 suan1
氨水	an1 shui3
安	an1
安安静静	an1 an1 jing4 jing4
安插	an1 cha1
安大略	an1 da4 lu:e4
安道尔	an1 dao4 er3
安德烈	an1 de2 lie4
安德松	an1 de2 song1
安的列斯群岛	an1 di4 lie4 si1 qun2 dao3
安第斯山	an1 di4 si1 shan1
安第斯山脉	an1 di4 si1 shan1 mai4
安定	an1 ding4
安定局面	an1 ding4 ju2 mian4
安东	an1 dong1
安顿	an1 dun4
安放	an1 fang4
安分	an1 fen4
安分守己	an1 fen4 shou3 ji3
安福	an1 fu2
安抚	an1 fu3
安哥拉	an1 ge1 la1
安圭拉	an1 gui1 la1
安国	an1 guo2
安好	an1 hao3
安徽	an1 hui1
安徽省	an1 hui1 sheng3
安家	an1 jia1
安家落户	an1 jia1 luo4 hu4
安静	an1 jing4
安居乐业	an1 ju1 le4 ye4
安卡拉	an1 ka3 la1
安康	an1 kang1
安乐	an1 le4
安理会	an1 li3 hui4
安禄山	an1 lu4 shan1
安民	an1 min2
安民告示	an1 min2 gao4 shi4
安民政策	an1 min2 zheng4 ce4
安娜	an1 na4
安纳波利斯	an1 na4 bo1 li4 si1
安南	an1 nan2
安宁	an1 ning2
安排	an1 pai2
安培	an1 pei2
安平	an1 ping2
安庆	an1 qing4
安丘	an1 qiu1
安全	an1 quan2
安全部	an1 quan2 bu4
安全部队	an1 quan2 bu4 dui4
安全措施	an1 quan2 cuo4 shi1
安全带	an1 quan2 dai4
安全阀	an1 quan2 fa2
安全感	an1 quan2 gan3
安全检查	an1 quan2 jian3 cha2
安全局	an1 quan2 ju2
安全局势	an1 quan2 ju2 shi4
安全理事会	an1 quan2 li3 shi4 hui4
安全年	an1 quan2 nian2
安全人员	an1 quan2 ren2 yuan2
安全生产	an1 quan2 sheng1 chan3
安全体系	an1 quan2 ti3 xi4
安全网	an1 quan2 wang3
安全系数	an1 quan2 xi4 shu4
安然	an1 ran2
安然无恙	an1 ran2 wu2 yang4
安人	an1 ren2
安设	an1 she4
安身	an1 shen1
安生	an1 sheng1
安史之乱	an1 shi3 zhi1 luan4
安顺	an1 shun4
安提瓜岛	an1 ti2 gua1 dao3
安危	an1 wei1
安慰	an1 wei4
安稳	an1 wen3
安息	an1 xi1
安闲	an1 xian2
安详	an1 xiang2
安心	an1 xin1
安阳	an1 yang2
安逸	an1 yi4
安于	an1 yu2
安源	an1 yuan2
安葬	an1 zang4
安扎	an1 zha1
安置	an1 zhi4
安装	an1 zhuang1
俺	an3
俺们	an3 men5
按	an4
按比例发展	an4 bi3 li4 fa1 zhan3
按兵不动	an4 bing1 bu2 dong4
按部就班	an4 bu4 jiu4 ban1
按次	an4 ci4
按规定	an4 gui1 ding4
按计划	an4 ji4 hua4
按劳分配	an4 lao2 fen1 pei4
按劳取酬	an4 lao2 qu3 chou2
按理	an4 li3
按摩	an4 mo2
按钮	an4 niu3
按期	an4 qi1
按时	an4 shi2
按说	an4 shuo1
按需分配	an4 xu1 fen1 pei4
按压	an4 ya1
按语	an4 yu3
按照	an4 zhao4
按捺	an4 na4
暗	an4
暗暗	an4 an4
暗藏	an4 cang2
暗淡	an4 dan4
暗地里	an4 di4 li3
暗电流	an4 dian4 liu2
暗房	an4 fang2
暗管	an4 guan3
暗害	an4 hai4
暗号	an4 hao4
暗河	an4 he2
暗礁	an4 jiao1
暗流	an4 liu2
暗杀	an4 sha1
暗示	an4 shi4
暗室	an4 shi4
暗线	an4 xian4
暗笑	an4 xiao4
暗影	an4 ying3
暗中	an4 zhong1
暗自	an4 zi4
岸	an4
岸边	an4 bian1
岸上	an4 shang5
案	an4
案件	an4 jian4
案卷	an4 juan4
案情	an4 qing2
案头	an4 tou2
案子	an4 zi5
肮脏	ang1 zang1
昂	ang2
昂贵	ang2 gui4
昂纳克	ang2 na4 ke4
昂然	ang2 ran2
昂首	ang2 shou3
昂扬	ang2 yang2
盎	ang4
盎然	ang4 ran2
盎司	ang4 si1
凹	ao1
凹面镜	ao1 mian4 jing4
凹凸不平	ao1 tu1 bu4 ping2
凹陷	ao1 xian4
敖	ao2
熬	ao1
熬	ao2
熬夜	ao2 ye4
翱翔	ao2 xiang2
袄	ao3
傲	ao4
傲冰	ao4 bing1
傲慢	ao4 man4
奥	ao4
奥地利	ao4 di4 li4
奥尔巴尼	ao4 er3 ba1 ni2
奥尔森	ao4 er3 sen1
奥古斯丁	ao4 gu3 si1 ding1
奥古斯塔	ao4 gu3 si1 ta3
奥克拉荷马	ao4 ke4 la1 he2 ma3
奥克兰	ao4 ke4 lan2
奥兰多	ao4 lan2 duo1
奥林	ao4 lin2
奥林匹克	ao4 lin2 pi3 ke4
奥林匹克运动会	ao4 lin2 pi3 ke4 yun4 dong4 hui4
奥林匹亚	ao4 lin2 pi3 ya4
奥秘	ao4 mi4
奥妙	ao4 miao4
奥氏体	ao4 shi4 ti3
奥斯丁	ao4 si1 ding1
奥斯卡	ao4 si1 ka3
奥斯陆	ao4 si1 lu4
奥斯特	ao4 si1 te4
奥斯汀	ao4 si1 ding1
奥特曼	ao4 te4 man4
奥运	ao4 yun4
奥运会	ao4 yun4 hui4
懊悔	ao4 hui3
懊恼	ao4 nao3
懊丧	ao4 sang4
澳大利亚	ao4 da4 li4 ya4
澳门	ao4 men2
澳洲	ao4 zhou1
芭蕉	ba1 jiao1
芭蕾舞	ba1 lei3 wu3
捌	ba1
扒	ba1
扒	pa2
扒开	ba1 kai1
叭	ba1
叭啦	ba1 la5
吧	ba1
吧	ba5
笆斗	ba1 dou3
八	ba1
八八年	ba1 ba1 nian2
八百	ba1 bai3
八宝	ba1 bao3
八边形	ba1 bian1 xing2
八成	ba1 cheng2
八达岭	ba1 da2 ling3
八二年	ba1 er4 nian2
八方	ba1 fang1
八分音符	ba1 fen1 yin1 fu2
八股	ba1 gu3
八国联军	ba1 guo2 lian2 jun1
八号	ba1 hao4
八号	ba2 hao4
八户	ba1 hu4
八家	ba1 jia1
八角	ba1 jiao3
八九年	ba1 jiu3 nian2
八零年	ba1 ling2 nian2
八六年	ba1 liu4 nian2
八路	ba1 lu4
八路军	ba2 lu4 jun1
八七年	ba1 qi1 nian2
八旗	ba1 qi2
八千	ba1 qian1
八日	ba1 ri4
八三年	ba1 san1 nian2
八十	ba1 shi2
八十八	ba1 shi2 ba1
八十二	ba1 shi2 er4
八十九	ba1 shi2 jiu3
八十六	ba1 shi2 liu4
八十七	ba1 shi2 qi1
八十三	ba1 shi2 san1
八十四	ba1 shi2 si4
八十五	ba1 shi2 wu3
八十一	ba1 shi2 yi1
八四	ba1 si4
八四年	ba1 si4 nian2
八五年	ba1 wu3 nian2
八仙	ba1 xian1
八仙过海	ba1 xian1 guo4 hai3
八仙桌	ba1 xian1 zhuo1
八项注意	ba2 xiang4 zhu4 yi4
八一	ba1 yi1
八一年	ba1 yi1 nian2
八一起义	ba1 yi1 qi3 yi4
八月	ba1 yue4
八月份	ba1 yue4 fen4
八字	ba1 zi4
八字宪法	ba1 zi4 xian4 fa3
八卦	ba2 gua4
疤	ba1
疤痕	ba1 hen2
巴	ba1
巴贝多	ba1 bei4 duo1
巴比伦	ba1 bi3 lun2
巴比特	ba1 bi3 te4
巴不得	ba1 bu4 de2
巴布亚新几内亚	ba1 bu4 ya4 xin1 ji3 nei4 ya4
巴东	ba1 dong1
巴顿	ba1 dun4
巴尔干	ba1 er3 gan4
巴伐利亚	ba1 fa2 li4 ya4
巴格达	ba1 ge2 da2
巴哈马	ba1 ha1 ma3
巴赫	ba1 he4
巴基斯坦	ba1 ji1 si1 tan3
巴结	ba1 jie5
巴解	ba1 jie3
巴库	ba1 ku4
巴拉迪尔	ba1 la1 di2 er3
巴拉圭	ba1 la1 gui1
巴勒斯坦	ba1 le4 si1 tan3
巴雷西	ba1 lei2 xi1
巴黎	ba1 li2
巴黎公社	ba1 li2 gong1 she4
巴里	ba1 li3
巴林	ba1 lin2
巴伦西亚	ba1 lun2 xi1 ya4
巴马科	ba1 ma3 ke1
巴拿马	ba1 na2 ma3
巴拿马运河	ba1 na2 ma3 yun4 he2
巴尼	ba1 ni2
巴乔	ba1 qiao2
巴塞罗那	ba1 sai4 luo2 na4
巴山	ba1 shan1
巴士	ba1 shi4
巴吞鲁日	ba1 tun1 lu3 ri4
巴西	ba1 xi1
巴西莱	ba1 xi1 lai2
巴西利亚	ba1 xi1 li4 ya4
巴掌	ba1 zhang5
拔	ba2
拔高	ba2 gao1
拔河	ba2 he2
拔尖	ba2 jian1
拔节	ba2 jie2
拔染	ba2 ran3
拔丝	ba2 si1
拔腿	ba2 tui3
拔牙	ba2 ya2
跋	ba2
跋山涉水	ba2 shan1 she4 shui3
跋涉	ba2 she4
靶	ba3
靶场	ba3 chang3
靶子	ba3 zi5
把	ba3
把	ba4
把柄	ba3 bing3
把持	ba3 chi2
把儿	ba4 er2
把风	ba3 feng1
把关	ba3 guan1
把酒	ba3 jiu3
把式	ba3 shi4
把手	ba3 shou3
把守	ba3 shou3
把头	ba3 tou2
把握	ba3 wo4
把戏	ba3 xi4
把兄弟	ba3 xiong1 di4
把子	ba4 zi5
耙	ba4
耙	pa2
坝	ba4
坝子	ba4 zi5
霸	ba4
霸道	ba4 dao4
霸权	ba4 quan2
霸权主义	ba4 quan2 zhu3 yi4
霸王	ba4 wang2
霸占	ba4 zhan4
霸主	ba4 zhu3
罢	ba4
罢	ba5
罢工	ba4 gong1
罢工运动	ba4 gong1 yun4 dong4
罢官	ba4 guan1
罢教	ba4 jiao4
罢课	ba4 ke4
罢免	ba4 mian3
罢市	ba4 shi4
罢休	ba4 xiu1
罢黜	ba4 chu4
爸	ba4
爸爸	ba4 ba5
白	bai2
白白	bai2 bai2
白斑	bai2 ban1
白布	bai2 bu4
白菜	bai2 cai4
白城	bai2 cheng2
白吃	bai2 chi1
白痴	bai2 chi1
白炽灯	bai2 chi4 deng1
白搭	bai2 da1
白打	bai2 da3
白蛋白	bai2 dan4 bai2
白底	bai2 di3
白地	bai2 di4
白帝城	bai2 di4 cheng2
白点	bai2 dian3
白俄罗斯	bai2 e2 luo2 si1
白发	bai2 fa4
白发苍苍	bai2 fa4 cang1 cang1
白匪	bai2 fei3
白费	bai2 fei4
白费劲	bai2 fei4 jin4
白粉	bai2 fen3
白干	bai2 gan1
白干	bai2 gan4
白宫	bai2 gong1
白骨	bai2 gu3
白河	bai2 he2
白虎	bai2 hu3
白花花	bai2 hua1 hua1
白化	bai2 hua4
白话	bai2 hua4
白话文	bai2 hua4 wen2
白灰	bai2 hui1
白金	bai2 jin1
白净	bai2 jing4
白酒	bai2 jiu3
白居易	bai2 ju1 yi4
白军	bai2 jun1
白开水	bai2 kai1 shui3
白口	bai2 kou3
白口铁	bai2 kou3 tie3
白口罩	bai2 kou3 zhao4
白蜡	bai2 la4
白蜡虫	bai2 la4 chong2
白蜡树	bai2 la4 shu4
白兰	bai2 lan2
白兰地	bai2 lan2 di4
白兰花	bai2 lan2 hua1
白朗	bai2 lang3
白痢	bai2 li4
白莲教	bai2 lian2 jiao4
白磷	bai2 lin2
白龙江	bai2 long2 jiang1
白露	bai2 lu4
白马	bai2 ma3
白茫茫	bai2 mang2 mang2
白毛女	bai2 mao2 nu:3
白米	bai2 mi3
白面	bai2 mian4
白内障	bai2 nei4 zhang4
白皮书	bai2 pi2 shu1
白旗	bai2 qi2
白区	bai2 qu1
白热	bai2 re4
白热化	bai2 re4 hua4
白人	bai2 ren2
白人种族主义	bai2 ren2 zhong3 zu2 zhu3 yi4
白日	bai2 ri4
白肉	bai2 rou4
白色	bai2 se4
白色恐怖	bai2 se4 kong3 bu4
白沙	bai2 sha1
白沙土	bai2 sha1 tu3
白沙瓦	bai2 sha1 wa3
白石	bai2 shi2
白手	bai2 shou3
白薯	bai2 shu3
白水	bai2 shui3
白水泥	bai2 shui3 ni2
白塔	bai2 ta3
白塔山	bai2 ta3 shan1
白糖	bai2 tang2
白陶	bai2 tao2
白天	bai2 tian1
白天鹅	bai2 tian1 e2
白铁	bai2 tie3
白铁皮	bai2 tie3 pi2
白铜	bai2 tong2
白头	bai2 tou2
白头偕老	bai2 tou2 xie2 lao3
白细胞	bai2 xi4 bao1
白相	bai2 xiang4
白血球	bai2 xie3 qiu2
白眼	bai2 yan3
白杨	bai2 yang2
白杨树	bai2 yang2 shu4
白洋淀	bai2 yang2 dian4
白药	bai2 yao4
白蚁	bai2 yi3
白银	bai2 yin2
白银矿	bai2 yin2 kuang4
白羽	bai2 yu3
白玉	bai2 yu4
白玉雕塑	bai2 yu4 diao1 su4
白玉兰	bai2 yu4 lan2
白玉米	bai2 yu4 mi3
白云	bai2 yun2
白云山	bai2 yun2 shan1
白云石	bai2 yun2 shi2
白纸	bai2 zhi3
白纸黑字	bai2 zhi3 hei1 zi4
白质	bai2 zhi4
白种	bai2 zhong3
白昼	bai2 zhou4
白昼夜晚	bai2 zhou4 ye4 wan3
白浊	bai2 zhuo2
白族	bai2 zu2
白垩	bai2 e4
白桦	bai2 hua4
白鹭	bai2 lu4
柏	bai3
柏拉图	bo2 la1 tu2
柏林	bo2 lin2
柏木	bai3 mu4
柏树	bai3 shu4
柏油	bai3 you2
柏油路	bai3 you2 lu4
百	bai3
百般	bai3 ban1
百倍	bai3 bei4
百尺竿头	bai3 chi3 gan1 tou2
百出	bai3 chu1
百分	bai3 fen1
百分比	bai3 fen1 bi3
百分表	bai3 fen1 biao3
百分率	bai3 fen1 lu:4
百分数	bai3 fen1 shu4
百分之	bai3 fen1 zhi1
百分之百	bai3 fen1 zhi1 bai3
百分制	bai3 fen1 zhi4
百感交集	bai3 gan3 jiao1 ji2
百官	bai3 guan1
百合	bai3 he2
百户	bai3 hu4
百花	bai3 hua1
百花齐放	bai3 hua1 qi2 fang4
百会	bai3 hui4
百货	bai3 huo4
百货店	bai3 huo4 dian4
百货公司	bai3 huo4 gong1 si1
百货商场	bai3 huo4 shang1 chang3
百货商店	bai3 huo4 shang1 dian4
百济	bai3 ji4
百家争鸣	bai3 jia1 zheng1 ming2
百科全书	bai3 ke1 quan2 shu1
百老汇	bai3 lao3 hui4
百里	bai3 li3
百里挑一	bai3 li3 tiao1 yi1
百两	bai3 liang3
百灵	bai3 ling2
百米赛	bai3 mi3 sai4
百慕达	bai3 mu4 da2
百慕大	bai3 mu4 da4
百年	bai3 nian2
百年大计	bai3 nian2 da4 ji4
百年好合	bai3 nian2 hao3 he2
百年后	bai3 nian2 hou4
百年来	bai3 nian2 lai2
百年历史	bai3 nian2 li4 shi3
百日	bai3 ri4
百色	bai3 se4
百十	bai3 shi2
百万	bai3 wan4
百万吨	bai3 wan4 dun1
百万富翁	bai3 wan4 fu4 weng1
百县	bai3 xian4
百祥	bai3 xiang2
百姓	bai3 xing4
百页窗	bai3 ye4 chuang1
百业	bai3 ye4
百依百顺	bai3 yi1 bai3 shun4
百元	bai3 yuan2
百战百胜	bai3 zhan4 bai3 sheng4
百折不挠	bai3 zhe2 bu4 nao2
摆	bai3
摆布	bai3 bu4
摆动	bai3 dong4
摆渡	bai3 du4
摆弄	bai3 nong4
摆设	bai3 she4
摆脱	bai3 tuo1
摆线	bai3 xian4
佰	bai3
败	bai4
败北	bai4 bei3
败坏	bai4 huai4
败绩	bai4 ji4
败家子	bai4 jia1 zi3
败类	bai4 lei4
败露	bai4 lu4
败诉	bai4 su4
败退	bai4 tui4
败亡	bai4 wang2
败战	bai4 zhan4
败仗	bai4 zhang4
败阵	bai4 zhen4
拜	bai4
拜读	bai4 du2
拜访	bai4 fang3
拜佛	bai4 fo2
拜会	bai4 hui4
拜见	bai4 jian4
拜金主义	bai4 jin1 zhu3 yi4
拜年	bai4 nian2
拜上帝会	bai4 shang4 di4 hui4
拜师	bai4 shi1
拜托	bai4 tuo1
拜谒	bai4 ye4
稗子	bai4 zi5
斑	ban1
斑白	ban1 bai2
斑斑	ban1 ban1
斑斑点点	ban1 ban1 dian3 dian3
斑驳	ban1 bo2
斑点	ban1 dian3
斑马	ban1 ma3
斑马线	ban1 ma3 xian4
斑纹	ban1 wen2
斑斓	ban1 lan2
斑鸠	ban1 jiu1
班	ban1
班长	ban1 zhang3
班车	ban1 che1
班次	ban1 ci4
班儿	ban1 er2
班固	ban1 gu4
班机	ban1 ji1
班吉	ban1 ji2
班级	ban1 ji2
班京杰	ban1 jing1 jie2
班轮	ban1 lun2
班上	ban1 shang5
班师	ban1 shi1
班图斯坦	ban1 tu2 si1 tan3
班珠尔	ban1 zhu1 er3
班主任	ban1 zhu3 ren4
班子	ban1 zi5
班组	ban1 zu3
班组长	ban1 zu3 zhang3
班禅	ban1 chan2
班禅额尔德尼	ban1 chan2 e2 er3 de2 ni2
搬	ban1
搬家	ban1 jia1
搬迁	ban1 qian1
搬用	ban1 yong4
搬运	ban1 yun4
搬运费	ban1 yun4 fei4
搬运工	ban1 yun4 gong1
搬走	ban1 zou3
扳	ban1
扳道	ban1 dao4
扳道员	ban1 dao4 yuan2
扳回	ban1 hui2
扳机	ban1 ji1
扳手	ban1 shou3
扳子	ban1 zi5
般	ban1
颁布	ban1 bu4
颁布施行	ban1 bu4 shi1 xing2
颁发	ban1 fa1
颁奖	ban1 jiang3
颁授	ban1 shou4
颁行	ban1 xing2
板	ban3
板报	ban3 bao4
板材	ban3 cai2
板凳	ban3 deng4
板胡	ban3 hu2
板极	ban3 ji2
板结	ban3 jie2
板栗	ban3 li4
板门店	ban3 men2 dian4
板球	ban3 qiu2
板式	ban3 shi4
板牙	ban3 ya2
板子	ban3 zi5
版	ban3
版本	ban3 ben3
版画	ban3 hua4
版画家	ban3 hua4 jia1
版面	ban3 mian4
版权	ban3 quan2
版权法	ban3 quan2 fa3
版式	ban3 shi4
版图	ban3 tu2
扮	ban4
扮演	ban4 yan3
拌	ban4
拌种	ban4 zhong3
伴	ban4
伴唱	ban4 chang4
伴侣	ban4 lu:3
伴随	ban4 sui2
伴音	ban4 yin1
伴奏	ban4 zou4
瓣	ban4
瓣儿	ban4 er2
瓣膜	ban4 mo2
半	ban4
半百	ban4 bai3
半辈子	ban4 bei4 zi5
半壁	ban4 bi4
半壁江山	ban4 bi4 jiang1 shan1
半边	ban4 bian1
半边天	ban4 bian1 tian1
半边天际	ban4 bian1 tian1 ji4
半部	ban4 bu4
半场	ban4 chang3
半成品	ban4 cheng2 pin3
半大	ban4 da4
半岛	ban4 dao3
半导体	ban4 dao3 ti3
半点	ban4 dian3
半封建	ban4 feng1 jian4
半封建半殖民地	ban4 feng1 jian4 ban4 zhi2 min2 di4
半个	ban4 ge4
半个月	ban4 ge4 yue4
半个月	ban4 ge5 yue4
半工半读	ban4 gong1 ban4 du2
半奖	ban4 jiang3
半截	ban4 jie2
半径	ban4 jing4
半开	ban4 kai1
半空	ban4 kong1
半空中	ban4 kong1 zhong1
半路	ban4 lu4
半路出家	ban4 lu4 chu1 jia1
半路上	ban4 lu4 shang5
半年	ban4 nian2
半年来	ban4 nian2 lai2
半票	ban4 piao4
半球	ban4 qiu2
半晌	ban4 shang3
半身	ban4 shen1
半身不遂	ban4 shen1 bu4 sui2
半生	ban4 sheng1
半失业	ban4 shi1 ye4
半世	ban4 shi4
半数	ban4 shu4
半衰期	ban4 shui1 qi1
半死	ban4 si3
半天	ban4 tian1
半天工夫	ban4 tian1 gong1 fu1
半透明	ban4 tou4 ming2
半途	ban4 tu2
半途而废	ban4 tu2 er2 fei4
半文盲	ban4 wen2 mang2
半小时	ban4 xiao3 shi2
半信半疑	ban4 xin4 ban4 yi2
半夜	ban4 ye4
半夜里	ban4 ye4 li3
半夜三更	ban4 ye4 san1 geng1
半音	ban4 yin1
半圆	ban4 yuan2
半圆形	ban4 yuan2 xing2
半月	ban4 yue4
半月刊	ban4 yue4 kan1
半殖民地	ban4 zhi2 min2 di4
半制品	ban4 zhi4 pin3
半自动	ban4 zi4 dong4
半自动化	ban4 zi4 dong4 hua4
办	ban4
办案	ban4 an4
办报	ban4 bao4
办不到	ban4 bu2 dao4
办到	ban4 dao4
办得到	ban4 de2 dao4
办儿	ban4 er2
办法	ban4 fa3
办公	ban4 gong1
办公处	ban4 gong1 chu4
办公费	ban4 gong1 fei4
办公会	ban4 gong1 hui4
办公会议	ban4 gong1 hui4 yi4
办公设备	ban4 gong1 she4 bei4
办公室	ban4 gong1 shi4
办公厅	ban4 gong1 ting1
办公用品	ban4 gong1 yong4 pin3
办公制度	ban4 gong1 zhi4 du4
办公桌	ban4 gong1 zhuo1
办货	ban4 huo4
办理	ban4 li3
办事	ban4 shi4
办事处	ban4 shi4 chu4
办事机构	ban4 shi4 ji1 gou4
办事员	ban4 shi4 yuan2
办学	ban4 xue2
办一办	ban4 yi2 ban4
绊	ban4
绊倒	ban4 dao3
绊脚石	ban4 jiao3 shi2
邦	bang1
邦本	bang1 ben3
邦国	bang1 guo2
邦交	bang1 jiao1
邦联	bang1 lian2
帮	bang1
帮办	bang1 ban4
帮帮	bang1 bang1
帮帮忙	bang1 bang1 mang2
帮工	bang1 gong1
帮会	bang1 hui4
帮忙	bang1 mang2
帮派	bang1 pai4
帮腔	bang1 qiang1
帮手	bang1 shou3
帮凶	bang1 xiong1
帮云	bang1 yun2
帮助	bang1 zhu4
梆	bang1
梆子	bang1 zi5
榜	bang3
榜首	bang3 shou3
榜样	bang3 yang4
膀	bang3
膀	pang2
膀子	bang3 zi5
膀胱	pang2 guang1
绑	bang3
绑架	bang3 jia4
绑腿	bang3 tui3
棒	bang4
棒球	bang4 qiu2
棒医	bang4 yi1
棒子	bang4 zi5
棒子面	bang4 zi5 mian4
磅	bang4
磅礴	pang2 bo2
蚌	bang4
蚌埠	beng4 bu4
蚌壳	bang4 ke2
镑	bang4
傍	bang4
傍晚	bang4 wan3
苞	bao1
苞米	bao1 mi3
胞	bao1
包	bao1
包办	bao1 ban4
包办代替	bao1 ban4 dai4 ti4
包庇	bao1 bi4
包菜	bao1 cai4
包藏	bao1 cang2
包产	bao1 chan3
包产到户	bao1 chan3 dao4 hu4
包抄	bao1 chao1
包车	bao1 che1
包袱	bao1 fu5
包干	bao1 gan4
包工	bao1 gong1
包工头	bao1 gong1 tou2
包谷	bao1 gu3
包裹	bao1 guo3
包含	bao1 han2
包涵	bao1 han2
包伙	bao1 huo3
包机	bao1 ji1
包括	bao1 kuo4
包揽	bao1 lan3
包罗	bao1 luo2
包罗万象	bao1 luo2 wan4 xiang4
包赔	bao1 pei2
包皮	bao1 pi2
包头	bao1 tou2
包围	bao1 wei2
包围圈	bao1 wei2 quan1
包下来	bao1 xia4 lai2
包销	bao1 xiao1
包修	bao1 xiu1
包扎	bao1 za1
包住	bao1 zhu4
包装	bao1 zhuang1
包装配套	bao1 zhuang1 pei4 tao4
包子	bao1 zi5
褒	bao1
褒贬	bao1 bian3
褒贬	bao1 bian5
